"","date_time","lat","long","elv","speed","gids","soc","a_hr","pack_volts","pack_amps","max_cp_m_v","min_cp_m_v","avg_cp_m_v","cp_m_v_diff","judgment_value","pack_t1_f","pack_t1_c","pack_t2_f","pack_t2_c","pack_t3_f","pack_t3_c","pack_t4_f","pack_t4_c","cp1","cp2","cp3","cp4","cp5","cp6","cp7","cp8","cp9","cp10","cp11","cp12","cp13","cp14","cp15","cp16","cp17","cp18","cp19","cp20","cp21","cp22","cp23","cp24","cp25","cp26","cp27","cp28","cp29","cp30","cp31","cp32","cp33","cp34","cp35","cp36","cp37","cp38","cp39","cp40","cp41","cp42","cp43","cp44","cp45","cp46","cp47","cp48","cp49","cp50","cp51","cp52","cp53","cp54","cp55","cp56","cp57","cp58","cp59","cp60","cp61","cp62","cp63","cp64","cp65","cp66","cp67","cp68","cp69","cp70","cp71","cp72","cp73","cp74","cp75","cp76","cp77","cp78","cp79","cp80","cp81","cp82","cp83","cp84","cp85","cp86","cp87","cp88","cp89","cp90","cp91","cp92","cp93","cp94","cp95","cp96","x12v_bat_amps","hx","x12v_bat_volts","odo_km","qc","l1_l2","tp_fl","tp_fr","tp_rr","tp_rl","ambient","soh","regen_wh","b_level","epoch_time","motor_pwr_w","aux_pwr_100w","a_c_pwr_250w","a_c_comp_0_1m_pa","est_pwr_a_c_50w","est_pwr_htr_250w","plug_state","charge_mode","obc_out_pwr","gear","h_volt1","h_volt2","gps_status","power_sw","bms","obc","motor_temp","inverter_2_temp","inverter_4_temp","speed1","speed2","wiper_status","torque_nm","rpm"
"1",2026-01-15 11:57:21,"-36 46.5298","174 43.90477",71,0,92,473200,517052,374.96,-0.277,3912,3899,3906,13,0,82.6,28.1,83.5,28.6,"none","none",82.2,27.9,-3899,-3908,-3904,-3905,-3908,-3904,-3904,-3905,-3908,-3904,-3908,-3905,-3904,-3908,-3904,-3905,-3906,-3910,-3908,-3901,-3908,-3908,-3908,-3905,-3908,-3904,-3903,-3905,-3905,-3908,-3908,-3905,-3908,-3908,-3908,-3904,-3904,-3904,-3904,-3905,-3905,3908,-3899,-3901,-3904,-3904,-3908,-3901,-3904,-3905,-3904,-3905,-3904,3912,-3904,-3905,-3910,-3908,-3908,-3906,-3908,-3905,-3908,-3910,-3905,-3908,-3907,-3910,-3905,-3908,-3908,-3905,-3905,-3908,-3905,-3905,-3905,-3908,-3908,-3905,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3905,-3905,-3908,-3906,-3904,-3908,-3908,-3901,"na",69.78,12.24,56021,671,1862,0,0,0,0,22.5,79.06,-145796,71,1768431441.462,0,0,0,0,0,0,0,0,0,1,374.96,374.96,"04097F",1,1,1,75,40,40,0,0,"00",0,0
"2",2026-01-15 11:57:36,"-36 46.52964","174 43.90416",69,0,92,473200,517052,374.99,0.733,3913,3900,3907,13,0,82.6,28.1,83.3,28.5,"none","none",82,27.8,-3900,-3909,-3905,-3906,-3909,-3905,-3905,-3906,-3909,-3905,-3909,-3906,-3905,-3909,-3905,-3906,-3907,-3911,-3909,-3907,-3909,-3909,-3909,-3906,-3909,-3905,-3904,-3906,-3906,-3909,-3909,-3906,-3909,-3909,-3909,-3905,-3905,-3905,-3905,-3906,-3906,3909,-3904,-3902,-3905,-3905,-3909,-3906,-3905,-3906,-3905,-3906,-3905,3913,-3905,-3906,-3911,-3909,-3909,-3907,-3909,-3906,-3909,-3911,-3906,-3909,-3908,-3911,-3906,-3909,-3909,-3906,-3906,-3909,-3906,-3906,-3906,-3909,-3905,-3906,-3909,-3909,-3909,-3909,-3909,-3909,-3909,-3909,-3906,-3906,-3909,-3911,-3905,-3909,-3909,-3902,"na",69.78,12.24,56021,671,1862,0,0,0,0,22.5,79.06,-145796,71,1768431456.098,0,0,0,0,0,0,0,0,0,1,374.99,374.99,"13047F",1,1,1,75,40,40,0,0,"00",0,0
"3",2026-01-15 11:57:49,"-36 46.52961","174 43.90418",68,0,92,473200,517052,374.99,-0.145,3912,3901,3906,11,0,82.8,28.2,83.3,28.5,"none","none",82,27.8,-3904,-3908,-3904,-3905,-3908,-3904,-3904,-3905,-3908,-3904,-3908,-3905,-3904,-3908,-3904,-3905,-3906,-3910,-3908,-3901,-3908,-3908,-3908,-3905,-3908,-3904,-3903,-3905,-3910,-3908,-3908,-3905,-3908,-3908,-3908,-3904,-3904,-3904,-3904,-3905,-3905,3908,-3903,-3901,-3904,-3904,-3908,-3901,-3908,-3905,-3904,-3905,-3904,3912,-3904,-3905,-3910,-3908,-3908,-3906,-3908,-3905,-3908,-3910,-3905,-3908,-3907,-3910,-3910,-3908,-3908,-3905,-3905,-3908,-3905,-3905,-3905,-3908,-3908,-3905,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3905,-3905,-3908,-3906,-3904,-3908,-3908,-3901,"na",69.78,12.24,56021,671,1862,0,0,0,0,22.5,79.06,-145796,71,1768431469.693,0,0,0,0,0,0,0,0,0,1,374.99,374.99,"21047F",1,1,1,75,40,40,0,0,"00",0,0
"4",2026-01-15 11:58:03,"-36 46.52962","174 43.90419",68,0,92,473200,517052,375.11,0.494,3913,3902,3907,11,0,82.8,28.2,83.3,28.5,"none","none",82,27.8,-3905,-3909,-3905,-3906,-3909,-3905,-3905,-3906,-3909,-3905,-3909,-3906,-3905,-3909,-3905,-3906,-3907,-3911,-3909,-3907,-3909,-3909,-3909,-3906,-3909,-3905,-3904,-3906,-3911,-3909,-3909,-3906,-3909,-3909,-3909,-3905,-3909,-3909,-3905,-3906,-3906,3909,-3904,-3902,-3905,-3905,-3909,-3906,-3905,-3906,-3905,-3906,-3905,3913,-3905,-3906,-3911,-3909,-3909,-3907,-3909,-3906,-3909,-3911,-3906,-3909,-3908,-3911,-3906,-3909,-3909,-3906,-3906,-3909,-3906,-3906,-3906,-3909,-3909,-3906,-3909,-3909,-3909,-3909,-3909,-3909,-3909,-3909,-3906,-3906,-3909,-3907,-3905,-3909,-3909,-3902,"na",69.78,12.24,56021,671,1862,0,0,0,0,22.5,79.06,-145796,71,1768431483.324,0,0,0,0,0,0,0,0,0,1,375.11,375.11,"2E047F",1,1,1,75,40,40,0,0,"00",0,0
"5",2026-01-15 11:58:17,"-36 46.52958","174 43.9042",68,0,92,473200,517052,375.01,-0.35,3912,3899,3906,13,0,82.8,28.2,83.3,28.5,"none","none",82,27.8,-3899,-3908,-3904,-3905,-3908,-3904,-3904,-3905,-3908,-3904,-3908,-3905,-3904,-3908,-3904,-3905,-3906,-3910,-3908,-3906,-3908,-3908,-3908,-3905,-3908,-3904,-3908,-3905,-3910,-3908,-3908,-3905,-3908,-3908,-3908,-3904,-3908,-3908,-3904,-3905,-3905,3908,-3899,-3901,-3904,-3904,-3908,-3905,-3904,-3910,-3904,-3905,-3904,3912,-3904,-3905,-3910,-3908,-3908,-3906,-3908,-3905,-3908,-3910,-3905,-3908,-3907,-3910,-3910,-3908,-3908,-3905,-3905,-3908,-3905,-3905,-3905,-3908,-3908,-3905,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3905,-3905,-3908,-3906,-3904,-3908,-3908,-3901,"na",69.78,12.24,56021,671,1862,0,0,0,0,22.5,79.06,-145796,71,1768431497.03,0,0,0,0,0,0,0,0,0,1,375.01,375.01,"3C0A7F",1,1,1,75,40,40,0,0,"00",0,0
"6",2026-01-15 11:58:30,"-36 46.52962","174 43.9042",69,0,93,473200,517052,375.03,-0.223,3913,3901,3906,12,0,82.8,28.2,83.3,28.5,"none","none",82,27.8,-3904,-3908,-3904,-3905,-3908,-3904,-3904,-3905,-3908,-3904,-3908,-3905,-3908,-3908,-3904,-3905,-3906,-3910,-3908,-3906,-3908,-3908,-3908,-3905,-3908,-3904,-3908,-3905,-3910,-3908,-3908,-3905,-3908,-3908,-3908,-3904,-3904,-3908,-3904,-3905,-3905,3913,-3903,-3901,-3904,-3904,-3908,-3905,-3904,-3905,-3904,-3910,-3904,3912,-3904,-3905,-3910,-3908,-3908,-3906,-3908,-3905,-3908,-3910,-3905,-3908,-3907,-3910,-3910,-3908,-3908,-3905,-3905,-3908,-3905,-3905,-3905,-3908,-3908,-3905,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3905,-3905,-3908,-3906,-3904,-3908,-3908,-3901,"na",69.78,12.24,56021,671,1862,0,0,0,0,22.5,79.06,-145796,71,1768431510.928,0,0,0,0,0,0,0,0,0,1,375.03,375.03,"4A097F",1,1,1,75,40,40,0,0,"00",0,0
"7",2026-01-15 11:58:44,"-36 46.52964","174 43.90424",69,0,93,473200,517052,375.05,-0.297,3917,3899,3906,18,0,82.6,28.1,83.3,28.5,"none","none",82.2,27.9,-3899,-3908,-3904,-3905,-3908,-3904,-3904,-3905,-3908,-3904,-3908,-3905,-3908,-3908,-3904,-3905,-3906,-3910,-3908,-3906,-3908,-3908,-3908,-3905,-3908,-3904,-3908,-3905,-3910,-3908,-3908,-3905,-3908,-3908,-3908,-3904,-3908,-3908,-3904,-3905,-3905,3913,-3903,-3905,-3908,-3904,-3908,-3905,-3908,-3905,-3904,-3905,-3908,3917,-3904,-3905,-3910,-3908,-3908,-3906,-3908,-3905,-3908,-3910,-3905,-3908,-3907,-3910,-3910,-3908,-3913,-3905,-3905,-3908,-3905,-3905,-3905,-3908,-3904,-3905,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3905,-3905,-3908,-3910,-3904,-3908,-3908,-3901,"na",69.78,12.24,56021,671,1862,0,0,0,0,22.5,79.06,-145796,71,1768431524.734,0,0,0,0,0,0,0,0,0,1,375.05,375.05,"58097F",1,1,1,75,40,40,0,0,"00",0,0
"8",2026-01-15 11:58:58,"-36 46.52963","174 43.90424",69,0,93,473200,517052,375.05,-0.37,3913,3899,3906,14,0,82.6,28.1,83.3,28.5,"none","none",82,27.8,-3899,-3908,-3904,-3905,-3908,-3904,-3904,-3905,-3908,-3904,-3908,-3905,-3904,-3908,-3904,-3905,-3906,-3910,-3908,-3906,-3908,-3908,-3908,-3905,-3908,-3904,-3908,-3905,-3910,-3908,-3908,-3905,-3908,-3908,-3908,-3904,-3908,-3908,-3904,-3905,-3905,3908,-3903,-3905,-3908,-3904,-3908,-3905,-3908,-3910,-3904,-3910,-3908,3912,-3904,-3905,-3910,-3913,-3908,-3906,-3908,-3905,-3908,-3910,-3905,-3908,-3907,-3910,-3910,-3908,-3913,-3905,-3905,-3908,-3905,-3905,-3905,-3908,-3908,-3905,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3905,-3905,-3908,-3906,-3904,-3908,-3908,-3901,"na",69.78,12.16,56021,671,1862,0,0,0,0,22.5,79.06,-145796,71,1768431538.336,0,0,0,0,0,0,0,0,0,1,375.05,375.05,"650B7F",1,1,1,75,40,40,0,0,"00",0,0
"9",2026-01-15 11:59:13,"-36 46.52964","174 43.90424",69,0,93,473200,517052,375.06,-0.223,3917,3901,3907,16,0,82.6,28.1,83.3,28.5,"none","none",82,27.8,-3904,-3908,-3904,-3905,-3908,-3904,-3904,-3905,-3908,-3908,-3908,-3905,-3908,-3908,-3908,-3905,-3906,-3910,-3908,-3906,-3908,-3908,-3908,-3905,-3908,-3904,-3908,-3905,-3910,-3908,-3908,-3905,-3908,-3908,-3908,-3908,-3908,-3908,-3904,-3905,-3905,3913,-3903,-3901,-3908,-3904,-3908,-3905,-3904,-3910,-3904,-3910,-3908,3917,-3904,-3905,-3910,-3913,-3908,-3906,-3908,-3905,-3908,-3910,-3905,-3908,-3907,-3910,-3910,-3908,-3913,-3905,-3905,-3908,-3905,-3905,-3905,-3908,-3908,-3905,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3905,-3905,-3908,-3906,-3904,-3908,-3908,-3905,"na",69.78,12.16,56021,671,1862,0,0,0,0,22.5,79.06,-145796,71,1768431553.035,0,0,0,0,0,0,0,0,0,1,375.06,375.06,"740A7F",1,1,1,75,40,40,0,0,"00",0,0
"10",2026-01-15 11:59:28,"-36 46.52965","174 43.90428",69,0,93,473200,517052,375.08,-0.038,3917,3901,3907,16,0,82.8,28.2,83.3,28.5,"none","none",82,27.8,-3904,-3908,-3904,-3905,-3908,-3904,-3904,-3905,-3908,-3908,-3908,-3905,-3904,-3908,-3904,-3905,-3906,-3910,-3908,-3901,-3908,-3908,-3908,-3905,-3908,-3904,-3908,-3905,-3910,-3908,-3908,-3905,-3908,-3908,-3908,-3908,-3908,-3908,-3904,-3905,-3905,3913,-3903,-3905,-3908,-3904,-3908,-3905,-3904,-3910,-3904,-3910,-3908,3917,-3904,-3905,-3910,-3913,-3908,-3906,-3908,-3905,-3908,-3910,-3910,-3908,-3907,-3910,-3910,-3908,-3913,-3905,-3905,-3908,-3905,-3905,-3905,-3908,-3908,-3905,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3908,-3905,-3905,-3908,-3910,-3904,-3908,-3908,-3905,"na",69.78,12.16,56021,671,1862,0,0,0,0,22.5,79.06,-145796,71,1768431568.572,0,0,0,0,0,0,0,0,0,1,375.08,375.08,"830A7F",1,1,1,75,40,40,0,0,"00",0,0
