Date/Time,Lat,Long,Elv,Speed,Gids,SOC,AHr,Pack Volts,Pack Amps,Max CP mV,Min CP mV,Avg CP mV,CP mV Diff,Judgment Value,Pack T1 F,Pack T1 C,Pack T2 F,Pack T2 C,Pack T3 F,Pack T3 C,Pack T4 F,Pack T4 C,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52,CP53,CP54,CP55,CP56,CP57,CP58,CP59,CP60,CP61,CP62,CP63,CP64,CP65,CP66,CP67,CP68,CP69,CP70,CP71,CP72,CP73,CP74,CP75,CP76,CP77,CP78,CP79,CP80,CP81,CP82,CP83,CP84,CP85,CP86,CP87,CP88,CP89,CP90,CP91,CP92,CP93,CP94,CP95,CP96,12v Bat Amps,VIN,Hx,12v Bat Volts,Odo(km),QC,L1/L2,TP-FL,TP-FR,TP-RR,TP-RL,Ambient,SOH,RegenWh,BLevel,epoch time,Motor Pwr(w),Aux Pwr(100w),A/C Pwr(250w),A/C Comp(0.1MPa),Est Pwr A/C(50w),Est Pwr Htr(250w),Plug State,Charge Mode,OBC Out Pwr,Gear,HVolt1,HVolt2,GPS Status,Power SW,BMS,OBC,Debug,Motor Temp,Inverter 2 Temp,Inverter 4 Temp, Speed1, Speed2,Wiper Status,Torque Nm,RPM,Debug
19/01/2026 10:28:23,,,0,0.0,481,793570,1370000,390.62,0.960,4075,4061,4069,14,0,70.0,21.1,70.9,21.6,none,none,70.3,21.3,4075,4071,4066,4075,4062,4066,4070,4066,4065,4070,4070,4070,4071,4071,4070,4072,4071,4066,4074,4072,4071,4066,4066,4075,4075,4071,4070,4075,4071,4071,4070,4075,4070,4070,4066,4071,4070,4066,4070,4075,4066,4066,4074,4075,4075,4070,4070,4071,4070,4066,4075,-4071,4075,4071,4070,4068,4066,4071,4062,4072,4071,4066,4066,4075,4062,4062,4075,4071,4066,4071,4066,4068,4070,4066,4061,4070,4066,4070,4061,4071,4070,4066,4061,4066,4075,4066,4066,4072,4066,4066,4065,4070,4062,4070,4061,4070,na,VME0-500837,97.66,14.24,56133,673,1864,0,0,0,0,20.5,100.00,-184444,26,1768771703.898,0,2,0,0,0,0,0,0,0,1,390.62,390.62,00FF0F,1,1,1,0081,59,40,40,0,0,00,0.00,0,4
19/01/2026 10:28:35,,,0,0.0,481,793569,1370000,390.63,0.793,4075,4061,4068,14,0,70.0,21.1,71.1,21.7,none,none,70.3,21.3,4075,4071,4066,4075,4062,4066,4070,4066,4065,4070,4065,4070,4071,4071,4070,4072,4071,4066,4074,4072,4066,4066,4066,4075,4075,4071,4070,4075,4071,4071,4070,4075,4070,4070,4066,4071,4070,4066,4070,4075,4066,4066,4074,4075,4075,4070,4066,4071,4070,4066,4075,-4071,4075,4071,4070,4068,4066,4071,4062,4072,4066,4066,4066,4075,4066,4062,4075,4071,4066,4071,4066,4068,4070,4066,4061,4070,4066,4070,4061,4071,4070,4066,4061,4066,4075,4066,4066,4072,4066,4066,4065,4070,4062,4070,4061,4070,na,VME0-500837,97.66,14.24,56133,673,1864,0,0,0,0,20.5,100.00,-184444,26,1768771715.275,0,2,0,0,0,0,0,0,0,1,390.63,390.63,00FF0F,1,1,1,0081,59,40,40,0,0,00,0.00,0,0
19/01/2026 10:28:51,-36 55.8525,174 41.61591,66,0.0,481,793566,1370000,390.63,0.979,4075,4061,4069,14,0,70.2,21.2,70.9,21.6,none,none,70.3,21.3,4075,4071,4066,4075,4062,4066,4070,4066,4070,4070,4070,4075,4071,4071,4070,4072,4071,4066,4074,4072,4066,4066,4066,4075,4075,4071,4070,4075,4075,4071,4070,4075,4070,4070,4066,4071,4070,4066,4070,4075,4066,4066,4074,4075,4075,4070,4070,4071,4075,4066,4075,-4071,4075,4071,4070,4068,4066,4071,4062,4072,4066,4066,4066,4075,4066,4062,4075,4071,4066,4071,4066,4068,4070,4066,4061,4075,4066,4070,4061,4066,4070,4066,4061,4066,4075,4066,4066,4072,4066,4066,4065,4070,4062,4070,4061,4070,3.12,VME0-500837,97.66,14.40,56133,673,1864,0,0,0,0,20.5,100.00,-184444,26,1768771731.934,0,2,0,0,0,0,0,0,0,1,390.63,390.63,040E7F,1,1,1,0081,59,40,40,0,0,00,0.00,0,1
19/01/2026 12:21:52,-36 55.85473,174 41.62419,71,0.0,481,793565,1370000,390.64,0.000,4075,4061,4069,14,0,70.0,21.1,70.9,21.6,none,none,70.3,21.3,4075,4071,4066,4075,4062,4066,4070,4066,4070,4070,4070,4075,4071,4071,4070,4072,4071,4066,4074,4072,4066,4066,4066,4075,4075,4071,4070,4075,4075,4071,4070,4075,4070,4070,4066,4071,4070,4066,4070,4075,4066,4066,4074,4075,4075,4070,4070,4071,4075,4066,4075,-4071,4075,4071,4070,4068,4066,4071,4062,4072,4066,4066,4066,4075,4066,4062,4075,4071,4066,4071,4066,4068,4070,4066,4061,4075,4066,4070,4061,4066,4070,4066,4061,4066,4075,4066,4066,4072,4066,4066,4065,4070,4062,4070,4061,4070,na,VME0-500837,97.66,12.90,56133,673,1864,0,0,0,0,20.5,100.00,-184444,17,1768778512.204,0,2,0,0,0,0,0,0,0,1,390.64,390.64,0D0617,0,1,1,0081,59,40,40,0,0,00,0.00,0,1
19/01/2026 12:23:37,-36 51.03534,174 48.65104,41,0.0,459,756004,1370000,384.06,0.000,4008,3990,4000,18,0,72.9,22.7,73.4,23.0,none,none,73.2,22.9,4008,4000,3995,4004,3995,3999,4003,4000,3999,4003,3999,4004,4000,4000,4004,4001,4004,3995,4008,4001,4000,4000,3999,4004,4004,4000,4003,4004,4004,4000,3999,4004,4004,3999,3999,4004,4003,3999,4003,4008,4000,4000,4008,4004,4004,4004,3999,4000,4004,3999,4004,4008,4004,4000,3999,4001,4000,4000,3995,4001,4000,4000,3995,4004,3995,3995,4004,4004,4000,4000,3995,4001,4004,3995,3990,4004,3995,4004,3995,4000,4004,3995,3994,4000,4004,4000,3995,4001,3999,3995,3994,4004,3995,3999,3995,4004,na,VME0-500837,97.66,13.00,0,673,1864,0,0,0,0,23.5,100.00,-184444,17,1768778617.654,0,2,0,0,0,0,0,0,0,1,384.06,384.06,290317,0,1,1,0081,59,40,40,0,0,00,0.00,0,1
19/01/2026 12:23:53,-36 51.03516,174 48.65039,41,0.0,459,755997,1370000,384.05,0.036,4008,3990,4000,18,0,72.7,22.6,73.4,23.0,none,none,73.2,22.9,4004,4000,3995,4004,3995,3999,4003,4000,3999,4003,3999,4004,4000,4000,4004,4001,4004,3995,4008,4001,4000,4000,3999,4004,4004,4000,4003,4004,4004,4000,3999,4004,4004,4004,3999,4004,4003,3999,4003,4008,4000,4000,4008,4004,4004,4004,3999,4000,4004,3999,4004,4008,4004,4004,3999,4001,4000,4000,3995,4005,4000,4000,3995,4004,4000,3995,4004,4004,4000,4000,3995,4001,4004,3995,3990,4004,3995,4004,3995,4000,4004,3995,3994,4000,4004,4000,3999,4001,3999,3995,3994,4004,3995,3999,3995,4004,0.62,VME0-500837,97.66,12.96,56151,673,1864,0,0,0,0,24.0,100.00,-184444,17,1768778633.698,0,2,0,0,0,0,0,0,0,1,384.05,384.05,38037F,1,1,1,0081,69,40,40,0,0,00,0.00,0,1
19/01/2026 12:24:08,-36 51.03519,174 48.65039,41,0.0,459,755996,1370000,384.04,0.410,4008,3990,4000,18,0,72.9,22.7,73.4,23.0,none,none,73.2,22.9,4004,4000,3995,4004,3995,3999,4003,4000,3999,4003,3999,4004,4000,4000,4004,4001,4004,3995,4008,4001,4000,4000,3999,4004,4004,4000,4003,4004,4004,4000,3999,4004,4004,3999,3999,4004,4003,3999,4003,4008,4000,4000,4008,4004,4004,4004,3999,4000,4004,3999,4004,4008,4004,4000,3999,4001,4000,4000,3995,4005,4000,4000,3995,4004,3995,3995,4008,4004,4000,4000,3995,4001,4004,3995,3990,4004,3995,4004,3995,4000,4004,3995,3994,4000,4004,4000,3999,4001,3999,3995,3994,3999,3995,3999,3995,4004,0.58,VME0-500837,97.66,12.96,56151,673,1864,0,0,0,0,24.0,100.00,-184444,17,1768778648.033,0,2,0,0,0,0,0,0,0,1,384.04,384.04,47037F,1,1,1,0081,69,40,40,0,0,00,0.00,0,1
19/01/2026 12:24:22,-36 51.03521,174 48.65041,41,0.0,459,755995,1370000,384.04,-0.184,4008,3990,4000,18,0,72.9,22.7,73.4,23.0,none,none,73.2,22.9,4004,4000,3995,4004,3995,3999,4003,4000,3999,4003,3999,4004,4000,4000,4004,4001,4004,3995,4008,4001,4000,4000,3999,4004,4004,4000,4003,4004,4004,4000,3999,4004,4004,4004,3999,4004,4003,3999,4003,4008,4000,4000,4003,4004,4004,4004,3999,4004,3999,3999,4004,4008,4004,4000,3999,4001,4000,4004,3995,4005,4000,4000,3995,4004,4000,3995,4008,4004,3995,4000,3995,4001,4004,3999,3990,4004,3995,4004,3995,4000,4004,3995,3994,4000,4004,4000,3999,4001,3999,3995,3994,4004,3995,3999,3995,4004,0.47,VME0-500837,97.66,12.96,56151,673,1864,0,0,0,0,24.0,100.00,-184444,17,1768778662.367,0,2,0,0,0,0,0,0,0,1,384.04,384.04,55037F,1,1,1,0081,69,40,40,0,0,00,0.00,0,1
19/01/2026 12:24:36,-36 51.03504,174 48.65038,41,0.0,459,755993,1370000,384.04,-0.070,4008,3990,4000,18,0,72.9,22.7,73.2,22.9,none,none,73.2,22.9,4004,4000,3995,4004,3995,3999,4003,4000,3999,4003,3999,4004,4000,4000,4004,4001,4004,3995,4003,4001,4000,4000,3999,4004,4004,4000,4003,4004,4004,4000,3999,4004,4004,4004,3999,4004,4003,3999,4003,4008,4000,4000,4003,4004,4004,4004,3999,4000,4004,3999,4004,4008,4004,4000,3999,4001,4000,4000,3995,4005,4000,4000,3995,4004,4000,3995,4008,4004,4000,4000,3995,3997,4004,3995,3990,4004,4000,4004,3995,4000,4004,3995,3994,4000,4004,4000,3999,4001,3999,3995,3994,4004,3995,3999,3995,4004,0.40,VME0-500837,97.66,12.96,56151,673,1864,0,0,0,0,24.0,100.00,-184444,17,1768778676.516,0,2,0,0,0,0,0,0,0,1,384.04,384.04,63037F,1,1,1,0081,69,40,40,0,0,00,0.00,0,1
19/01/2026 12:24:51,-36 51.03556,174 48.64988,40,0.0,459,755992,1370000,384.06,0.429,4008,3990,4000,18,0,72.9,22.7,73.4,23.0,none,none,73.2,22.9,4004,4000,3995,4004,3995,3999,4003,4000,3999,4003,3999,4004,4000,4000,4004,4001,4004,3995,4008,4001,4000,4000,3999,4004,4004,4000,4003,4004,4004,4000,3999,4004,4004,4004,3999,4004,4003,3999,4003,4008,4000,4000,4003,4004,4004,4004,3999,4004,4004,3999,4004,4008,4004,4000,3999,4001,4000,4004,3995,4005,4000,4000,3995,4004,3995,3995,4008,4004,4000,4000,3995,4001,4004,3995,3990,4004,3995,4004,3995,4000,4004,3995,3994,4000,4004,4000,3995,4001,3999,3995,3994,3999,3995,3999,3995,4004,0.42,VME0-500837,97.66,12.96,56151,673,1864,0,0,0,0,24.0,100.00,-184444,17,1768778691.026,0,2,0,0,0,0,0,0,0,1,384.06,384.06,72037F,1,1,1,0081,69,40,40,0,0,00,0.00,0,1
